Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
9.903804516792297363e+01,0.000000000000000000e+00,3.000000000000000000e+01,3.005900000000000105e+01,3.269800000000000040e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000383260250091553e+02,0.000000000000000000e+00,3.000000000000000000e+01,3.025400000000000134e+01,3.264900000000000091e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.010388133525848389e+02,0.000000000000000000e+00,3.000000000000000000e+01,3.015599999999999881e+01,3.274699999999999989e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.020389037132263184e+02,0.000000000000000000e+00,3.000000000000000000e+01,3.035200000000000031e+01,3.269800000000000040e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.030389959812164307e+02,0.000000000000000000e+00,3.000000000000000000e+01,3.025400000000000134e+01,3.303999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.040394065380096436e+02,0.000000000000000000e+00,3.000000000000000000e+01,3.030300000000000082e+01,3.284499999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.050395863056182861e+02,0.000000000000000000e+00,3.000000000000000000e+01,3.020499999999999829e+01,3.289300000000000068e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.060401599407196045e+02,0.000000000000000000e+00,3.000000000000000000e+01,3.020499999999999829e+01,3.289300000000000068e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.070406808853149414e+02,0.000000000000000000e+00,3.000000000000000000e+01,3.040099999999999980e+01,3.303999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.080408859252929688e+02,0.000000000000000000e+00,3.000000000000000000e+01,3.035200000000000031e+01,3.308899999999999864e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.090413355827331543e+02,0.000000000000000000e+00,3.000000000000000000e+01,3.035200000000000031e+01,3.308899999999999864e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.100414483547210693e+02,0.000000000000000000e+00,3.000000000000000000e+01,3.035200000000000031e+01,3.313799999999999812e+01,2.300000000000000000e+01,2.300000000000000000e+01
