Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
6.713376688957214355e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.548400000000000176e+01,3.372399999999999665e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.813574409484863281e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.553300000000000125e+01,3.367499999999999716e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.913709473609924316e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.587500000000000000e+01,3.382200000000000273e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.013855338096618652e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.582600000000000051e+01,3.382200000000000273e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.113981771469116211e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.607000000000000028e+01,3.396900000000000119e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.214070129394531250e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.602199999999999847e+01,3.387100000000000222e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.314193344116210938e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.607000000000000028e+01,3.411500000000000199e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.414277434349060059e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.611899999999999977e+01,3.401800000000000068e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.514373564720153809e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.636399999999999721e+01,3.421300000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.614521765708923340e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.646099999999999852e+01,3.431099999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.714614057540893555e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.665699999999999648e+01,3.440899999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.816228365898132324e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.655899999999999750e+01,3.450600000000000023e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.916373753547668457e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.685199999999999676e+01,3.450600000000000023e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.016450166702270508e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.685199999999999676e+01,3.450600000000000023e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.116553115844726562e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.699900000000000233e+01,3.450600000000000023e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.216673421859741211e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.729200000000000159e+01,3.455499999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.316750550270080566e+01,2.000000000000000000e+01,2.000000000000000000e+01,3.699900000000000233e+01,3.475099999999999767e+01,2.300000000000000000e+01,2.300000000000000000e+01
