Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
1.950676560401916504e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.699900000000000233e+01,3.171999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.960679581165313721e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.695000000000000284e+01,3.167200000000000060e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.970681331157684326e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.699900000000000233e+01,3.171999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.980685079097747803e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.709700000000000131e+01,3.176899999999999835e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.990686826705932617e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.699900000000000233e+01,3.186700000000000088e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.000688016414642334e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.719500000000000028e+01,3.167200000000000060e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.010693097114562988e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.724300000000000210e+01,3.176899999999999835e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.020694320201873779e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.714600000000000080e+01,3.176899999999999835e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.030696249008178711e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.724300000000000210e+01,3.181800000000000139e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.040697100162506104e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.719500000000000028e+01,3.186700000000000088e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.050699853897094727e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.714600000000000080e+01,3.181800000000000139e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.060701506137847900e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.719500000000000028e+01,3.171999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.070702478885650635e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.724300000000000210e+01,3.186700000000000088e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.080707430839538574e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.724300000000000210e+01,3.176899999999999835e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.090709550380706787e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.729200000000000159e+01,3.176899999999999835e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.100711133480072021e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.739000000000000057e+01,3.186700000000000088e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.110712149143218994e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.729200000000000159e+01,3.181800000000000139e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.120713949203491211e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.748799999999999955e+01,3.186700000000000088e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.130718605518341064e+02,3.000000000000000000e+01,0.000000000000000000e+00,3.743900000000000006e+01,3.186700000000000088e+01,2.300000000000000000e+01,2.300000000000000000e+01
