Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
2.572308471202850342e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.582317628860473633e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.919800000000000040e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.592379362583160400e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.602391121387481689e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.612397012710571289e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.910099999999999909e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.622446193695068359e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.002900000000000347e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.632530934810638428e+02,0.000000000000000000e+00,8.299999999999840838e+01,3.914999999999999858e+01,3.983400000000000318e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.642550230026245117e+02,0.000000000000000000e+00,5.849999999999866418e+01,3.934499999999999886e+01,3.988300000000000267e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.652693021297454834e+02,0.000000000000000000e+00,1.000000000000156319e+01,3.929599999999999937e+01,3.997999999999999687e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.662730371952056885e+02,0.000000000000000000e+00,3.399999999999891998e+01,3.924699999999999989e+01,3.993200000000000216e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.672745454311370850e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.924699999999999989e+01,4.017600000000000193e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.682753114700317383e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.939399999999999835e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.692790594100952148e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.939399999999999835e+01,4.012700000000000244e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.702840559482574463e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.929599999999999937e+01,4.012700000000000244e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.712875850200653076e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.944299999999999784e+01,4.012700000000000244e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.722958667278289795e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.949199999999999733e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.733047468662261963e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.939399999999999835e+01,4.017600000000000193e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.743152339458465576e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.924699999999999989e+01,4.022500000000000142e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.753157396316528320e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.929599999999999937e+01,4.012700000000000244e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.763174273967742920e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.934499999999999886e+01,4.027400000000000091e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.773193895816802979e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.032300000000000040e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.783203303813934326e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.924699999999999989e+01,4.022500000000000142e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.793267762660980225e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.944299999999999784e+01,4.022500000000000142e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.803360505104064941e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.929599999999999937e+01,4.017600000000000193e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.813412482738494873e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.934499999999999886e+01,4.012700000000000244e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.823417975902557373e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.939399999999999835e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.833431060314178467e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.954099999999999682e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.843545031547546387e+02,0.000000000000000000e+00,1.000000000000156319e+01,3.939399999999999835e+01,3.997999999999999687e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.853554332256317139e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.934499999999999886e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.863634684085845947e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.939399999999999835e+01,4.002900000000000347e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.873663365840911865e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.929599999999999937e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.883685810565948486e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.934499999999999886e+01,4.002900000000000347e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.893828504085540771e+02,0.000000000000000000e+00,8.299999999999840838e+01,3.929599999999999937e+01,3.983400000000000318e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.903945922851562500e+02,0.000000000000000000e+00,8.299999999999840838e+01,3.934499999999999886e+01,3.983400000000000318e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.914045763015747070e+02,0.000000000000000000e+00,8.299999999999840838e+01,3.944299999999999784e+01,3.983400000000000318e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.924160046577453613e+02,0.000000000000000000e+00,1.000000000000000000e+02,3.939399999999999835e+01,3.968699999999999761e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.934178965091705322e+02,0.000000000000000000e+00,1.000000000000000000e+02,3.954099999999999682e+01,3.968699999999999761e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.944229736328125000e+02,0.000000000000000000e+00,1.000000000000000000e+02,3.954099999999999682e+01,3.968699999999999761e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.954395425319671631e+02,0.000000000000000000e+00,8.299999999999840838e+01,3.944299999999999784e+01,3.983400000000000318e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.964403777122497559e+02,0.000000000000000000e+00,1.000000000000000000e+02,3.939399999999999835e+01,3.973599999999999710e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.974511928558349609e+02,0.000000000000000000e+00,1.000000000000156319e+01,3.924699999999999989e+01,3.997999999999999687e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.984611787796020508e+02,0.000000000000000000e+00,3.399999999999891998e+01,3.924699999999999989e+01,3.993200000000000216e+01,4.000000000000000000e+01,4.000000000000000000e+01
2.994649112224578857e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.924699999999999989e+01,4.002900000000000347e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.004754633903503418e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.939399999999999835e+01,4.002900000000000347e+01,4.000000000000000000e+01,4.000000000000000000e+01
3.014898974895477295e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.914999999999999858e+01,4.007800000000000296e+01,4.000000000000000000e+01,4.000000000000000000e+01
